"Date and time",Description,MCC,"Card currency amount, (UAH)","Operation amount","Operation currency","Exchange rate","Commission, (UAH)","Cashback amount, (UAH)",Balance
"31.08.2026 11:04:58","From: MONOBANK",4829,1000.0,1000.0,UAH,—,—,—,2432.51
"07.08.2026 21:17:23",YouTube,7841,-149.0,-149.0,UAH,—,—,—,1432.51
"07.06.2026 21:27:16","Cancellation. YouTube",5817,10.0,10.0,UAH,—,—,—,1581.51
"07.06.2026 21:24:02",YouTube,5817,-10.0,-10.0,UAH,—,—,—,1571.51
"21.11.2025 19:45:45","Київстар +380000000000",4814,-150.0,-150.0,UAH,—,—,—,1581.51
"28.07.2025 12:08:01","From: 537416******0000",4829,6000.0,6000.0,UAH,—,—,—,1731.51
"12.06.2025 22:20:44","Олена П.",4829,-5000.0,-5000.0,UAH,—,—,—,-4268.49
"09.09.2024 17:37:49","From EUR card",4829,1357.5,30.0,EUR,45.25,—,—,731.51
"03.09.2024 15:31:30",ANTHROPIC,5734,-207.45,-5.0,USD,41.49,—,—,-625.99
"25.08.2024 16:29:49",MIGROLINO,5411,-683.76,-13.95,CHF,49.015,—,—,-418.54
"22.08.2024 17:07:21",516874****0000,4829,-2010.05,-2010.05,UAH,—,—,—,265.22
"07.02.2024 12:00:26","STATNI PODNIK DOKUM",7299,-3121.75,-1900.0,CZK,1.643,—,—,2275.27
