Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Card Payment,Current,2026-04-30 13:51:55,2026-05-01 08:10:02,SBB CFF FFS,-16.80,0.00,CHF,COMPLETED,983.20
Topup,Current,2026-05-01 09:00:00,2026-05-01 09:00:00,"Payment from MUSTER, MAX",500.00,0.00,CHF,COMPLETED,1483.20
Card Payment,Current,2026-05-02 12:30:11,2026-05-03 06:00:00,Migros,-23.45,0.00,CHF,COMPLETED,1459.75
Card Payment,Current,2026-05-02 19:05:40,2026-05-03 06:00:00,Restaurant Caravelle,-64.00,0.00,CHF,COMPLETED,1395.75
Exchange,Current,2026-05-03 10:00:00,2026-05-03 10:00:00,Exchanged to EUR,-200.00,0.00,CHF,COMPLETED,1195.75
Exchange,Current,2026-05-03 10:00:00,2026-05-03 10:00:00,Exchanged to EUR,208.40,0.00,EUR,COMPLETED,208.40
Card Payment,Current,2026-05-05 21:14:03,2026-05-06 06:00:00,Netflix,-12.99,0.00,EUR,COMPLETED,195.41
Card Payment,Current,2026-05-10 08:22:19,2026-05-11 06:00:00,Tesla,-18.30,0.00,CHF,REVERTED,
Card Payment,Current,2026-05-10 08:25:01,2026-05-11 06:00:00,Tesla,-18.30,0.00,CHF,COMPLETED,1377.45
Card Payment,Current,2026-05-23 18:11:18,2026-05-24 12:15:30,SBB CFF FFS,-49.73,0.50,USD,COMPLETED,1.77
Card Refund,Current,2026-06-02 15:40:00,2026-06-03 06:00:00,Amazon,35.00,0.00,EUR,COMPLETED,230.41
Transfer,Current,2026-06-05 11:11:11,2026-06-05 11:11:11,To MAX MUSTER,-100.00,0.00,EUR,COMPLETED,130.41
Card Payment,Current,2026-06-12 07:45:00,2026-06-12 07:45:00,Apple,-2.00,0.00,CHF,COMPLETED,1375.45
Card Payment,Current,2026-06-20 13:00:00,2026-06-20 13:00:00,Coop,-31.10,0.00,CHF,DECLINED,
Card Payment,Current,2026-06-25 12:02:37,2026-06-26 06:00:00,Migros,-14.20,0.00,CHF,COMPLETED,1361.25
Card Payment,Current,2026-06-25 18:47:09,2026-06-26 06:00:00,Coop,-27.85,0.00,CHF,COMPLETED,1333.40
Card Payment,Current,2026-07-14 19:20:00,2026-07-15 06:00:00,Chatgpt,-20.00,0.00,EUR,COMPLETED,110.41
Exchange,Current,2026-07-14 19:27:10,2026-07-14 19:27:10,Exchanged to CHF,-1.77,0.00,USD,COMPLETED,0.00
Exchange,Current,2026-07-14 19:27:10,2026-07-14 19:27:10,Exchanged to CHF,1.42,0.00,CHF,COMPLETED,1334.82
Card Payment,Current,2026-07-15 15:04:14,,Tesla,-17.40,0.00,CHF,PENDING,
Card Payment,Current,2026-07-16 12:00:00,,Migros,-9.95,0.00,CHF,PENDING,
